,ニュースリスト
0,2018-01-04
1,893
2,893.7
3,884.3
4,890.5
5,21669000
6,4452.5
7,2018-01-05
8,892.9
9,903.5
10,892.2
11,896.6
12,25565000
13,4483
14,2018-01-09
15,910
16,914.9
17,907.1
18,912.5
19,24605000
20,4562.5
21,2018-01-10
22,912
23,917.8
24,906.2
25,917.5
26,20409000
27,4587.5
28,2018-01-11
29,911.1
30,914.3
31,904.6
32,914.3
33,13674000
34,4571.5
35,2018-01-12
36,914.3
37,915.3
38,904.2
39,906.3
40,12375000
41,4531.5
42,2018-01-15
43,915
44,929.6
45,915
46,929.4
47,21713000
48,4647
49,2018-01-16
50,930.5
51,932.4
52,916.4
53,925.4
54,16734000
55,4627
56,2018-01-17
57,918.2
58,918.3
59,908.4
60,913.6
61,21221000
62,4568
63,2018-01-18
64,924.2
65,932.7
66,917
67,917.8
68,22753000
69,4589
70,2018-01-19
71,930
72,934.4
73,926.8
74,930.8
75,17637000
76,4654
77,2018-01-22
78,927.5
79,932.9
80,923.7
81,932.9
82,12469000
83,4664.5
84,2018-01-23
85,936.2
86,944.2
87,931.3
88,940
89,17000000
90,4700
91,2018-01-24
92,932
93,934.8
94,924.4
95,927.1
96,17858000
97,4635.5
98,2018-01-25
99,915
100,923.2
101,913.6
102,918.1
103,12135000
104,4590.5
105,2018-01-26
106,926.2
107,930.9
108,917.9
109,920
110,14315000
111,4600
112,2018-01-29
113,915
114,915.8
115,901.3
116,904
117,20361000
118,4520
119,2018-01-30
120,901.1
121,901.7
122,878.6
123,882.2
124,26126000
125,4411
126,2018-01-31
127,870.1
128,891
129,863
130,866.4
131,28888000
132,4332
133,2018-02-01
134,889
135,897
136,876.9
137,896
138,27740000
139,4480
140,2018-02-02
141,896.7
142,899.1
143,878.6
144,883.7
145,18155000
146,4418.5
147,2018-02-05
148,865.2
149,874.2
150,857.4
151,857.6
152,22198000
153,4288
154,2018-02-06
155,808.7
156,820.8
157,800.7
158,818.4
159,39656000
160,4092
161,2018-02-07
162,847.6
163,848
164,812.4
165,812.5
166,29432000
167,4062.5
168,2018-02-08
169,818
170,826.9
171,811.8
172,826.4
173,22004000
174,4132
175,2018-02-09
176,799.2
177,806.9
178,789
179,804.5
180,26380000
181,4022.5
182,2018-02-13
183,821.6
184,827.9
185,804.8
186,807.8
187,21200000
188,4039
189,2018-02-14
190,814
191,823.8
192,795.9
193,801
194,19435000
195,4005
196,2018-02-15
197,812
198,818.4
199,804.7
200,809.5
201,13687000
202,4047.5
203,2018-02-16
204,816
205,822.5
206,812.5
207,814.2
208,13946000
209,4071
210,2018-02-19
211,820
212,834.8
213,817.9
214,834.7
215,12137000
216,4173.5
217,2018-02-20
218,835
219,838.7
220,825.8
221,830.2
222,15909000
223,4151
224,2018-02-21
225,831.9
226,831.9
227,820.1
228,822.7
229,17013000
230,4113.5
231,2018-02-22
232,825
233,828.2
234,816.5
235,824.6
236,15357000
237,4123
238,2018-02-23
239,821.5
240,834
241,820.6
242,831.5
243,12357000
244,4157.5
245,2018-02-26
246,836.3
247,839.7
248,826.9
249,827.5
250,17154000
251,4137.5
252,2018-02-27
253,840.3
254,851.8
255,840.3
256,847.9
257,18943000
258,4239.5
259,2018-02-28
260,845
261,851.2
262,809
263,818
264,24126000
265,4090
266,2018-03-01
267,822.4
268,830.2
269,815.2
270,820.3
271,24027000
272,4101.5
